fiscal_year,month,honduras,el_salvador,guatemala,year,date
18,NOV,4376,2706,8721,2017,2017-11-01
18,DEC,4142,2400,10846,2017,2017-12-01
18,JAN,3750,1455,7614,2018,2018-01-01
18,FEB,3786,1408,7575,2018,2018-02-01
18,MAR,6622,2055,9722,2018,2018-03-01
18,APR,7480,2400,10507,2018,2018-04-01
18,MAY,9032,3164,12389,2018,2018-05-01
18,JUN,7997,3178,10074,2018,2018-06-01
18,JUL,7163,2979,8640,2018,2018-07-01
18,AUG,8934,3503,10447,2018,2018-08-01
18,SEP,12000,3800,13000,2018,2018-09-01
19,OCT,12449,4608,17322,2018,2018-10-01
19,NOV,13670,4895,18931,2018,2018-11-01
19,DEC,13993,3668,21284,2018,2018-12-01
19,JAN ,12459,3454,18105,2019,2019-01-01
19,FEB,21415,5226,23389,2019,2019-02-01
19,MAR,28304,8979,33381,2019,2019-03-01
19,APR,30795,11020,32999,2019,2019-04-01
19,MAY,42842,15961,45024,2019,2019-05-01
19,JUN,29410,12633,24638,2019,2019-06-01
19,JUL,24636,9840,14375,2019,2019-07-01
19,AUG,15277,5969,8634,2019,2019-08-01
19,SEP,8856,3500,5547,2019,2019-09-01
20,OCT,5719,2582,5909,2019,2019-10-01
20,NOV,4774,2175,6240,2019,2019-11-01
20,DEC,4382,1939,6490,2019,2019-12-01
20,JAN,2778,1330,4580,2020,2020-01-01
20,FEB,2977,1488,4885,2020,2020-02-01
20,MAR,3350,1441,4329,2020,2020-03-01
20,APR,1891,553,1357,2020,2020-04-01
20,MAY,1746,471,724,2020,2020-05-01
20,JUN,2147,542,1064,2020,2020-06-01
20,JUL,2905,947,2418,2020,2020-07-01
20,AUG,4028,1478,4146,2020,2020-08-01
20,SEP,4846,2219,5912,2020,2020-09-01
21,OCT,7370,3014,9292,2020,2020-10-01
21,NOV,8199,3650,10323,2020,2020-11-01
21,DEC,10358,3921,12454,2020,2020-12-01
21,JAN,11232,3580,13137,2021,2021-01-01
21,FEB,20180,5599,19154,2021,2021-02-01
21,MAR,42116,9475,34060,2021,2021-03-01
21,APR,38205,11043,3053,2021,2021-04-01
21,MAY,32131,10462,26452,2021,2021-05-01
21,JUN,35033,11582,30246,2021,2021-06-01
21,JULY,45297,12719,36468,2021,2021-07-01
21,AUG,42125,12692,37108,2021,2021-08-01
21,SEP,27078,10953,24288,2021,2021-09-01
22,OCT,21861,9801,19374,2021,2021-10-01
22,NOV,20105,9664,20469,2021,2021-11-01
22,DEC,18141,8874,21009,2021,2021-12-01
22,JAN,12011,5810,13856,2022,2022-01-01
22,FEB,14075,7146,18215,2022,2022-02-01
22,MAR,16213,8403,21392,2022,2022-03-01
22,APR,15734,8355,19910,2022,2022-04-01
22,MAY,19730,8980,21468,2022,2022-05-01
22,JUN,24177,9123,24648,2022,2022-06-01
22,JUL,20340,7952,20212,2022,2022-07-01
22,AUG,16219,6675,15681,2022,2022-08-01
22,SEP,14417,6247,15331,2022,2022-09-01
23,OCT,14097,6066,14842,2022,2022-10-01
23,NOV,13153,5535,14520,2022,2022-11-01
23,DEC,13168,4832,14796,2022,2022-12-01
23,"6,037,615",353504,116444,284818,2023,NA
23,,193334,85124,214871,2023,NA
