AÑO1,MES1,Count of PrerregistroPublic.sav1
2022,Diciembre,5396
2022,Noviembre,8374
2022,Octubre,7354
2022,Septiembre,7891
2022,Agosto,6060
2022,Julio,3927
2022,Junio,4136
2022,Mayo,203486
2022,Abril,96980
2022,Marzo,127731
2022,Febrero,132788
2022,Enero,120950
2023,Diciembre,4086
2023,Noviembre,9447
2023,Octubre,7938
2023,Septiembre,9452
2023,Agosto,8679
2023,Julio,8209
2023,Junio,6178
2023,Mayo,12932
2023,Abril,17927
2023,Marzo,7196
2023,Febrero,11322
2023,Enero,8724
2024,Julio,5107
2024,Junio,4917
2024,Mayo,6819
2024,Abril,7643
2024,Marzo,7236
2024,Febrero,9050
2024,Enero,6668
